cost_limits,lag_multiplier_inits,lag_multiplier_lrs,update_iterss,nn_sizes,Return,Cost,Regret,Evaluation Return,Evaluation Cost,Evaluation Regret,Return Curr,Cost Curr,Regret Curr,Evaluation Return Curr,Evaluation Cost Curr,Evaluation Regret Curr
1.0,0.1,0.01,1,64,9.17614679336548,32.51200113296509,5901.149857139588,8.521107612779511,60.333333333333336,496.06666666666666,11.031440162658692,27.220000076293946,2673.196857213974,7.347709100865708,19.066666666666666,325.26666666666665
5.0,0.1,0.01,1,64,12.014979553222656,25.103999519348143,4275.652757072448,4.911255453456067,20.933333333333334,136.0,12.249879455566406,33.21999931335449,3185.3446305274965,6.787836820657594,77.06666666666666,402.3999999999999
1.0,0.01,0.01,1,64,11.717618942260744,35.23199977874756,5710.067536616325,10.07217924359787,20.733333333333334,436.73333333333335,11.770179557800294,22.14000015258789,2050.585281562805,10.544270749173181,23.466666666666665,362.73333333333335
5.0,0.01,0.01,1,64,11.68582534790039,25.44799976348877,8549.937909412383,8.699461387086906,49.8,483.6,12.537275505065917,17.20400047302246,1330.9776727676392,9.892813669548255,21.133333333333333,140.26666666666668
1.0,0.001,0.01,1,64,10.712748908996582,39.892001152038574,5024.0479260444645,9.425967774751733,17.333333333333332,287.6666666666667,11.94974308013916,39.95600061416626,1863.8886432647705,9.87764786309746,28.6,271.93333333333334
5.0,0.001,0.01,1,64,10.974314880371093,55.29199857711792,9148.659670543671,7.216247170713625,11.133333333333333,310.73333333333335,12.218473625183105,27.095999717712402,2725.217530822754,6.826629841478704,17.266666666666666,251.0
1.0,0.1,0.01,1,256,9.527097702026367,44.679998779296874,8126.129655075073,5.7208676202060955,17.266666666666666,397.0,8.786431121826173,47.62400016784668,3284.812238931656,2.8457149830979156,20.866666666666667,161.46666666666667
5.0,0.1,0.01,1,256,7.7172017097473145,26.760000228881836,7360.8374032020565,1.9691335092003754,9.866666666666667,393.4,11.355506992340088,24.207999992370606,2500.7820551872255,12.677070795100667,11.2,197.8
1.0,0.001,0.01,1,256,7.624298429489135,34.68000030517578,7898.404513740539,5.274720894606276,38.0,426.33333333333337,9.985783767700195,98.0639986038208,4024.9427233695983,10.858380450447125,31.933333333333334,429.0
5.0,0.001,0.01,1,256,8.308277320861816,30.019999408721922,6885.4381171226505,6.665766413939925,3.8666666666666667,186.13333333333333,10.48587703704834,35.34399938583374,2418.8340195655824,11.093813833155824,59.733333333333334,412.59999999999997
1.0,0.1,0.01,10,64,6.477749347686768,65.95199890136719,8434.315884113312,7.48063764784222,66.2,491.46666666666664,10.383316135406494,29.560000610351562,2234.900220179558,8.598277069242666,10.666666666666666,316.6666666666667
5.0,0.1,0.01,10,64,8.554433107376099,35.75199956893921,6583.713339328766,9.581644207484905,40.666666666666664,188.8,6.794693422317505,136.780002784729,8092.823783874512,0.43803592833494115,74.6,556.6666666666666
1.0,0.01,0.01,10,64,5.79084587097168,43.3439998626709,6439.168562793731,3.331718300350495,49.4,337.93333333333334,9.779278755187988,57.396000671386716,3624.161058163643,4.490034303722812,53.2,403.3333333333333
5.0,0.01,0.01,10,64,10.621703910827637,25.415999984741212,5339.890331363678,7.945874869794589,41.4,273.8666666666667,9.720113849639892,41.35199928283691,3085.4756130218507,8.0493750264795,11.933333333333334,223.33333333333334
1.0,0.001,0.01,10,64,9.361431789398193,40.484000778198244,5137.332779955864,2.599787029551696,69.73333333333333,360.6,8.923712921142577,24.76399974822998,2634.9512227535247,4.114103772809466,41.2,222.6
5.0,0.001,0.01,10,64,9.68742618560791,37.563999557495116,6013.751559257507,7.096461785662829,76.4,493.3333333333333,11.674395179748535,30.79999942779541,1852.828078842163,12.588140147072476,76.93333333333334,232.86666666666667
1.0,0.1,0.01,10,256,6.356031036376953,59.56800079345703,6379.171713781357,5.441807267461302,44.666666666666664,435.4,8.273332595825195,72.8759994506836,4116.563122749329,7.542315718840727,55.46666666666667,338.73333333333335
5.0,0.1,0.01,10,256,8.120868444442749,67.76399946212769,6339.708479499817,7.55681936922681,7.2,197.2,8.712257146835327,44.66400012969971,3811.9111169815064,9.220407774835094,53.0,623.8666666666667
