steps_per_epochs,lag_multiplier_inits,lag_multiplier_lrs,update_iterss,nn_sizes,Return,Cost,Regret,Evaluation Return,Evaluation Cost,Evaluation Regret,Return Curr,Cost Curr,Regret Curr,Evaluation Return Curr,Evaluation Cost Curr,Evaluation Regret Curr
1000,0.001,0.1,1,64,2.0293561935424806,12.008000087738036,4028.0120400428773,-1.1094147147135573,4.4,78.6,6.852258396148682,33.9279990196228,2327.6953179359434,-2.153498521903595,35.333333333333336,173.0
2000,0.001,0.1,1,64,0.8341020375490189,15.688000106811524,3397.66092402935,-5.003527428166918,36.2,121.13333333333331,5.092322444915771,10.044000148773193,1652.8096743106842,1.6755385652023724,20.6,147.06666666666666
1000,0.001,0.01,1,64,11.729286003112794,20.85999984741211,4290.638229370117,4.4332065733454025,9.533333333333333,183.8,11.675923347473145,10.99600009918213,1645.729693555832,11.744855481040334,21.333333333333332,486.8
2000,0.001,0.01,1,64,11.538537979125977,11.28400011062622,2969.548823547363,10.073931451638062,6.733333333333333,159.6,11.805975341796875,7.9039998054504395,1205.7762723922729,11.548058398002224,3.7333333333333334,240.33333333333334
1000,0.01,0.1,1,256,1.4511818408966064,8.347999930381775,3817.8104439258577,-1.5140446013056394,0.0,153.93333333333334,5.242697066068649,12.144000148773193,1159.3038636922836,-2.7555621278194775,8.8,113.13333333333334
2000,0.01,0.1,1,256,5.395299047231674,5.527999830245972,1641.9864959716797,3.6556251331072693,19.066666666666666,48.8,4.580844426155091,21.31200065612793,1334.3978001594544,-5.254496467005,19.466666666666665,117.4
1000,0.1,0.01,1,256,7.731422567367554,35.075999641418456,5474.62179517746,2.455817332887231,17.066666666666666,130.8,9.482688331604004,19.01599998474121,2368.534874153137,6.6068851316570925,19.133333333333333,285.26666666666665
2000,0.1,0.01,1,256,10.2620285987854,7.080000019073486,3491.2378858566285,9.541123956602473,4.8,116.33333333333333,11.327462196350096,13.055999946594238,3137.606040430069,11.130035596055102,3.0,210.13333333333333
1000,0.01,0.01,1,256,6.846117162704468,47.560000610351565,6657.110396385193,3.7810100649507565,23.133333333333333,235.26666666666668,11.097348976135255,20.2959997177124,1848.3670881509781,8.953670941552767,24.733333333333334,371.06666666666666
2000,0.01,0.01,1,256,9.485506820678712,23.063999557495116,3973.829735994339,3.4996637077170436,6.266666666666667,190.46666666666667,10.810139179229736,12.13199987411499,1868.8881601810456,10.208960917695125,4.733333333333333,90.2
1000,0.001,0.01,10,64,9.074085521697999,26.567999839782715,6202.234598398209,7.549043018816868,67.86666666666666,426.0,10.128821182250977,28.907999801635743,2260.5869953393935,7.0027758659530805,69.4,112.26666666666667
2000,0.001,0.01,10,64,10.479586982727051,10.080000114440917,3596.144178915024,9.300711672006916,11.8,120.6,11.431112480163574,6.780000114440918,1530.422307085991,8.907542204463759,2.8666666666666667,117.53333333333333
1000,0.1,0.05,10,64,3.1724106788635256,18.356000328063963,4287.036108016968,2.828223454423186,8.133333333333333,182.40000000000003,4.880293941497802,52.216000366210935,4667.167253136635,1.0398882459872214,34.86666666666667,326.93333333333334
2000,0.1,0.05,10,64,5.937350225448609,19.208000087738036,2959.748284339905,-1.2346516125236995,4.333333333333333,76.8,6.283299231529236,11.364000034332275,2086.5497394561767,3.680302334570816,3.933333333333333,187.46666666666667
1000,0.1,0.05,50,64,4.344430732727051,23.943999767303467,4891.277780294418,3.7342179478011532,3.8666666666666667,141.33333333333334,5.300550937652588,73.80399799346924,4115.329397821426,1.304907486482979,15.933333333333334,220.60000000000002
2000,0.1,0.05,50,64,4.899085855484008,26.747999572753905,2952.7792197704316,6.543685087077188,14.8,106.53333333333335,4.033071994781494,37.01599960327148,3162.6822655677797,4.947732798753793,9.6,223.33333333333334
1000,0.01,0.035,1,256,4.220124471187591,42.51199932098389,8215.382729244233,1.7940019338446893,3.6,522.0666666666667,9.452787494659423,26.703999614715578,2478.4125163078306,7.006666615654127,15.4,107.33333333333333
2000,0.01,0.035,1,256,5.489829969406128,9.516000175476075,2843.8449515104294,2.1826723234052943,45.53333333333333,286.73333333333335,8.230169677734375,5.019999933242798,1440.891431570053,5.515309219916268,0.0,41.0
1000,0.001,0.035,50,64,4.725866746902466,40.44400062561035,5891.48352355957,5.4372486896731065,63.86666666666667,367.0,3.0701331377029417,25.964000606536864,1807.2346618890763,2.225835340212861,1.4,139.8
2000,0.001,0.035,50,64,7.365399742126465,38.99999976158142,3601.9256786346436,4.171328768184784,1.2666666666666666,124.53333333333333,5.569722201675177,14.819999885559081,1827.7320746898652,2.1922727727419766,6.933333333333334,211.4
